NAME_2,long,lat,seasonality_archetype,seasonality_archetype_2,Population_2016,Pop_U_0_4,pop_U1,DS_Name,PEC,MILDA,RTSS,CPS,CPP
Beyla,-8.14952708,9.53422913,Kerouane,Kerouane,348746,71778,12814,Beyla,PEC TPI,P1,RTSS,no,CPP
Boffa,-13.95624,10.86681,Dubreka,Forecariah,227217,45934,8349,Boffa,PEC TPI,P2,PAS RTSS,no,CPP
Boke,-14.20570335,11.67198043,Dubreka,Dubreka,481007,82667,17674,Boke,PEC TPI,P2,PAS RTSS,no,CPP
Conakry,-13.56669,9.73685,Dukreka,Forecariah,1775129,239435,65226,Conakry,,P2,,no,
Coyah,-13.25121,9.95324,Dubreka,Dubreka,281757,45422,10353,Coyah,PEC TPI,P2,PAS RTSS,no,CPP
Dabola,-10.725499,11.129346,Kouroussa,Kouroussa,193716,37035,7118,Dabola,PEC TPI,P1,RTSS,exist,PAS CPP
Dalaba,-12.050551,11.29792,Kerouane,Lelouma,142880,23360,5250,Dalaba,PEC TPI,P1,RTSS,exist,PAS CPP
Dinguiraye,-10.33658,12.22495,Kouroussa,Tougue,210043,40316,7718,Dinguiraye,PEC TPI,P1,RTSS,exist,PAS CPP
Dubreka,-13.35242,10.49175,Dubreka,Dubreka,352859,66737,12966,Dubreka,PEC TPI,P2,RTSS,no,CPP
Faranah,-10.420583,10.512657,Kerouane,Kerouane,299612,53652,11009,Faranah,PEC TPI,P1,RTSS,exist,PAS CPP
Forecariah,-12.74169,9.73352,Dubreka,Forecariah,259573,50942,9538,Forecariah,PEC TPI,P1,RTSS,no,CPP
Fria,-13.443955,10.683503,Dubreka,Dubreka,103385,17067,3799,Fria,PEC TPI,P2,RTSS,no,CPP
Gaoual,-13.391442,12.30421,Dubreka,Dubreka,207033,37568,7607,Gaoual,PEC TPI,P2,RTSS,exist,PAS CPP
Gueckedou,-10.438788,9.072081,Kerouane,Nzerekore,310602,51472,11413,Gueckedou,PEC TPI,P1,RTSS,no,CPP
Kankan,-9.207854,11.047295,Kouroussa,Kouroussa,504325,100063,18531,Kankan,PEC TPI,P1,RTSS,exist,PAS CPP
Kerouane,-8.942989,9.818185,Kerouane,Kerouane,221961,44898,8156,Kerouane,PEC TPI,P1,RTSS,expand,PAS CPP
Kindia,-12.50096,10.55985,Dubreka,Dubreka,469446,82430,17250,Kindia,PEC TPI,P1,RTSS,no,CPP
Kissidougou,-10.079791,9.616094,Kerouane,Kerouane,302942,50372,11131,Kissidougou,PEC TPI,P1,RTSS,expand,PAS CPP
Koubia,-11.49239,12.21459,Kouroussa,Tougue,106698,18552,3921,Koubia,PEC TPI,P2,PAS RTSS,exist,PAS CPP
Koundara,-13.46738,12.66686,Kouroussa,Siguiri,138898,23531,5104,Koundara,PEC TPI,P2,RTSS,exist,PAS CPP
Kouroussa,-10.317323,11.405024,Kouroussa,Kouroussa,287052,60028,10548,Kouroussa,PEC TPI,P1,RTSS,exist,PAS CPP
Labe,-12.298696,11.681101,Kerouane,Tougue,339842,55630,12487,Labe,PEC TPI,P2,PAS RTSS,exist,PAS CPP
Lelouma,-12.66496086,11.93323708,Kerouane,Lelouma,174201,30756,6401,Lelouma,PEC TPI,P2,RTSS,exist,PAS CPP
Lola,-8.375403,8.494696,Kerouane,Nzerekore,183483,32676,6742,Lola,PEC TPI,P1,RTSS,no,CPP
Macenta,-9.346773,8.867669,Kerouane,Nzerekore,297779,49519,10942,Macenta,PEC TPI,P1,RTSS,no,CPP
Mali,-11.43302,12.43161,Kouroussa,Kouroussa,307552,52567,11301,Mali,PEC TPI,P2,RTSS,exist,PAS CPP
Mamou,-11.366314,11.259843,Kerouane,Lelouma,340956,56720,12528,Mamou,PEC TPI,P1,RTSS,exist,PAS CPP
Mandiana,-8.685074,11.63114,Kouroussa,Siguiri,359288,79234,13202,Mandiana,PEC TPI,P1,RTSS,exist,PAS CPP
Nzerekore,-8.673057,8.377656,Kerouane,Nzerekore,423951,71645,15578,Nzerekore,PEC TPI,P1,PAS RTSS,no,CPP
Pita,-12.563394,11.323236,Kerouane,Lelouma,297255,47144,10922,Pita,PEC TPI,P1,RTSS,exist,PAS CPP
Siguiri,-9.245172,12.49842,Kouroussa,Siguiri,724631,155893,26626,Siguiri,PEC TPI,P1,RTSS,exist,PAS CPP
Telimele,-13.52772,11.38166,Dubreka,Lelouma,304060,56969,11173,Telimele,PEC TPI,P1,RTSS,expand,PAS CPP
Tougue,-11.165517,12.03104,Kouroussa,Tougue,132917,22679,4884,Tougue,PEC TPI,P2,PAS RTSS,exist,PAS CPP
Yomou,-9.075355,7.869488,Kerouane,Yomou,122237,21903,4492,Yomou,PEC TPI,P1,RTSS,no,CPP
