DS_Name,year,dose_0,dose_1,dose_2,dose_3,dose_4
Dinguiraye,2015,0.049445005,0.09283552,0.09283552,0.19172553,0.573158426
Gaoual,2015,0.049445005,0.09283552,0.09283552,0.19172553,0.573158426
Koubia,2015,0.049445005,0.09283552,0.09283552,0.19172553,0.573158426
Koundara,2015,0.049445005,0.09283552,0.09283552,0.19172553,0.573158426
Mali,2015,0.049445005,0.09283552,0.09283552,0.19172553,0.573158426
Tougue,2015,0.049445005,0.09283552,0.09283552,0.19172553,0.573158426
Dinguiraye,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Gaoual,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Koubia,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Koundara,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Mali,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Mandiana,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Siguiri,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Tougue,2016,0.033165829,0.068844221,0.068844221,0.095477387,0.733668342
Dinguiraye,2017,0.036,0.008,0,0.014,0.942
Gaoual,2017,0.027,0.066,0.111,0.161,0.635
Koubia,2017,0.091,0.091,0,0,0.818
Koundara,2017,0.099,0,0.063,0.063,0.775
Labe,2017,0,0.134865135,0.045954046,0.16983017,0.649350649
Lelouma,2017,0.036,0.035,0.18,0.143,0.606
Mali,2017,0.038,0,0,0.052,0.91
Mandiana,2017,0.023976024,0,0,0.055944056,0.92007992
Siguiri,2017,0.563,0.027,0.06,0.116,0.234
Tougue,2017,0,0,0.151,0.114,0.735
Dinguiraye,2018,0.036,0.008,0,0.014,0.942
Gaoual,2018,0.027,0.066,0.111,0.161,0.635
Koubia,2018,0.091,0.091,0,0,0.818
Koundara,2018,0.099,0,0.063,0.063,0.775
Labe,2018,0,0.134865135,0.045954046,0.16983017,0.649350649
Lelouma,2018,0.036,0.035,0.18,0.143,0.606
Mali,2018,0.038,0,0,0.052,0.91
Mandiana,2018,0.023976024,0,0,0.055944056,0.92007992
Siguiri,2018,0.563,0.027,0.06,0.116,0.234
Tougue,2018,0,0,0.151,0.114,0.735
Dabola,2018,0.112112112,0.034034034,0.017017017,0.11011011,0.726726727
Kouroussa,2018,0.035035035,0.025025025,0.033033033,0.043043043,0.863863864
Kankan,2018,0.09,0.026,0.089,0.094,0.701
Dinguiraye,2019,0.155,0.007,0.021,0.04,0.777
Gaoual,2019,0.155,0.007,0.021,0.04,0.777
Koubia,2019,0.155,0.007,0.021,0.04,0.777
Koundara,2019,0.155,0.007,0.021,0.04,0.777
Labe,2019,0.094,0,0.009,0.044,0.853
Lelouma,2019,0.094,0,0.009,0.044,0.853
Mali,2019,0.155,0.007,0.021,0.04,0.777
Mandiana,2019,0.422,0.004,0.029,0.049,0.496
Siguiri,2019,0.422,0.004,0.029,0.049,0.496
Tougue,2019,0.155,0.007,0.021,0.04,0.777
Dabola,2019,0.051,0.009,0.034,0.102,0.804
Kouroussa,2019,0.051,0.009,0.034,0.102,0.804
Kankan,2019,0.051,0.009,0.034,0.102,0.804
Dinguiraye,2020,0.155,0.007,0.021,0.04,0.777
Gaoual,2020,0.155,0.007,0.021,0.04,0.777
Koubia,2020,0.155,0.007,0.021,0.04,0.777
Koundara,2020,0.155,0.007,0.021,0.04,0.777
Labe,2020,0.094,0,0.009,0.044,0.853
Lelouma,2020,0.094,0,0.009,0.044,0.853
Mali,2020,0.155,0.007,0.021,0.04,0.777
Mandiana,2020,0.422,0.004,0.029,0.049,0.496
Siguiri,2020,0.422,0.004,0.029,0.049,0.496
Tougue,2020,0.155,0.007,0.021,0.04,0.777
Dabola,2020,0.051,0.009,0.034,0.102,0.804
Kouroussa,2020,0.051,0.009,0.034,0.102,0.804
Kankan,2020,0.051,0.009,0.034,0.102,0.804
Pita,2020,0.132,0.027,0.042,0.095,0.704
Mamou,2020,0.132,0.027,0.042,0.095,0.704
Dalaba,2020,0.132,0.027,0.042,0.095,0.704
Faranah,2020,0.132,0.027,0.042,0.095,0.704
